Filename;ActivityName;Location;ReferenceProduct
315fc411-1d20-5170-bbbd-7dcd96d373ee_6bcb7d07-3c26-45c4-a87a-ead2ac75a66a.spold;transport, passenger car, large size, diesel, EURO 4;RoW;transport, passenger car, large size, diesel, EURO 4
175f5731-4e88-5520-914f-e51e8d27610e_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;EE;electricity, low voltage
79387fbd-5969-59d8-b27a-300f6153114b_8b46d94e-e82f-4241-964c-6acd87a71d87.spold;treatment of residues, MSWI[F]-WWT, WW from pig iron production, residual material landfill;CH;residues, MSWI[F]-WWT, WW from pig iron production
38523519-27f4-54cc-8e60-23bd1db68c07_82b0ddee-083e-4ede-8b4e-bfd3b93a8ec6.spold;market for p-chlorophenol;GLO;p-chlorophenol
a9dbd4fa-5162-5626-82a6-3fa85846980d_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;treatment of fly ash and scrubber sludge, hazardous waste incineration, with energy recovery;RoW;electricity, medium voltage
fed89293-2e3c-51b6-8b1a-786278827844_4b59aa3a-7916-4a31-9008-eddcdd7b9e0d.spold;market for metal catalyst for catalytic converter;GLO;metal catalyst for catalytic converter
2fd0e556-f03f-59fc-b15b-ef5a35694fa6_9b8b880d-a6f6-45e1-ab18-cc2562b6da61.spold;market for cottonseed;BD;cottonseed
8055a19e-43b0-5ef1-b3ac-a0934f81555e_66daea80-e64b-4b3f-a4de-ac3c7f589968.spold;treatment of residues, MSWI-WWT-SLF, sludge from pulp and paper production, residual material landfill;Europe without Switzerland;residues, MSWI-WWT-SLF, sludge from pulp and paper production
16c2eabb-eb66-5dad-8d2b-cdad9ac96523_3ede4edc-b278-40dc-8007-0c574aff0739.spold;aluminium production, primary, liquid, Söderberg;IAI Area, Russia & RER w/o EU27 & EFTA;aluminium, primary, liquid
16519b1f-2ac8-5260-b811-bc8feb240909_4d2b658e-8b37-4bf4-bb23-dcb1601ceb1e.spold;cathode production, for aluminium electrolysis;RoW;cathode, for aluminium electrolysis
7e294341-3423-5a6c-9a96-87a30f008b69_19bacec1-aff8-4398-a7bd-d125b48505b7.spold;polyethylene terephthalate production, granulate, bottle grade;RoW;polyethylene terephthalate, granulate, bottle grade
42908033-bad3-5dc2-b049-59de171e6c70_90da97fd-c0fa-4ccb-bdda-90ace015aed6.spold;treatment of sewage sludge, 70% water, WWT, heat carrier liquid, 40% C3H8O2, municipal incineration FAE;CH;sewage sludge, 70% water, WWT, heat carrier liquid, 40% C3H8O2
31dea617-fd61-540f-bb9f-a65902d04ee9_c76478d2-32a3-45ed-a4e1-12ef9d60883f.spold;pump station construction;RoW;pump station
0dfbd4a1-8f5a-5cee-a196-e8e6ff724aab_06b8d05b-e1e6-427b-929c-bb55e84e7c08.spold;market for ammonia, anhydrous, liquid;RLA;ammonia, anhydrous, liquid
9f7f185c-b7ef-5a12-942b-1c11cb4ae7d5_10da3c92-bfbe-455c-8029-dfd4e4acedd4.spold;treatment of waste natural gas, sweet, burned in production flare;GLO;waste natural gas, sweet
1b12ffe7-9a2d-5ff7-a548-b623a236ec98_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;evaporation of natural gas, import from RU;RoW;natural gas, high pressure
4d980eb7-475e-56dd-884e-daec43fc8395_2cb0d6c6-349c-46fc-b31f-a036c847a267.spold;treatment of waste plastic, consumer electronics, manual dismantling, sorting and cleaning, informal sector;IN;waste plastic, consumer electronics, sorted
87b7683a-4186-5be9-b813-0b8ef7399177_6e316c64-0481-4832-b097-296e14c0b02f.spold;market for ferrochromium, high-carbon, 68% Cr;GLO;ferrochromium, high-carbon, 68% Cr
4d172d3c-b68c-5721-9d9c-37bc6c13ca57_7a439ec7-1840-4c4f-983f-1f07eda2053f.spold;market for cement, CEM II/A;Europe without Switzerland;cement, CEM II/A
aaabed50-a875-5843-98b2-0f41ab9f9927_7b349a0f-7612-5137-9026-ddcb5e924ed1.spold;decabromodiphenyl ether production;RoW;decabromodiphenyl ether
370a7c30-cccf-529a-8efb-d516d0d762e7_f575d599-c290-4329-8b87-f0cbf03b4311.spold;electric parts production, mini CHP plant;RoW;electric parts, mini CHP plant
f483bb23-63ab-5557-aaf5-07036af53983_142f9def-fcb1-486b-b82a-3f384db79acf.spold;barite production;RER;barite
c5358912-ff92-524c-a33e-8d4d984ae6bc_2a80aed2-53c0-4eaa-bae1-829394a7cb32.spold;sheep production, for wool;RoW;sheep for slaughtering, live weight
d9bea5ee-bea0-59ef-bf02-6fe26da1bdb9_1570a766-fe08-427f-94cb-6947995117ec.spold;natural gas, liquefied, import from AU;CN;natural gas, liquefied
46e59ffa-df84-52b9-9c39-7478f2bef580_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, >3MW turbine, onshore;PT;electricity, high voltage
cf52a86c-7cb8-50bd-8a56-b86d68882cc7_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;NZ;electricity, high voltage
f09f7350-aaff-53ea-b164-61f890204f9e_a94ce0ad-46f5-407c-b445-671e353875f0.spold;market for argon, liquid;RoW;argon, liquid
5a666baf-5066-5f83-8ce3-bf880f8f2eaa_6296905b-1bc0-4b4d-99cd-d768ef341a6c.spold;market for high level radioactive waste for final repository;CH;high level radioactive waste for final repository
a9b55b54-f209-57f9-9a9a-d84cb35af9c5_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from RS;MK;electricity, high voltage
b29ae7e5-6d83-5afd-ae8d-bbb3618c52a2_a873567a-d299-40bd-a8a7-640b31921c11.spold;photovoltaic mounting system production, for slanted-roof installation;RoW;photovoltaic mounting system, for slanted-roof installation
186c51dc-b0db-5d01-a862-85d6b96d0ac7_b8f3120f-0268-4802-a324-5cfa4b148f50.spold;ventilation duct production, connection piece, steel, 100x50 mm;RoW;ventilation duct, connection piece, steel, 100x50 mm
3afcc358-faf4-5b26-97df-a136787d988f_69b3d58f-ddde-59c4-a78d-2ededd641aab.spold;clear-cutting, grassland to arable land, forest, intensive;BR-ES;land tenure, arable land, measured as carbon net primary productivity, forest, intensive
c6ccf580-84c7-525f-937a-633e0c4d40fa_a7fab22d-a210-5eee-abac-b882fa7d5477.spold;market for cocamide diethanolamine;GLO;cocamide diethanolamine
3e4baa8a-0581-5291-8aa2-1a98b38266b1_cb09bcae-b469-4f41-84a6-cdd1e958e027.spold;market group for rape seed;AU;rape seed
7e82a499-abde-5538-b911-651af33030d8_50549900-3310-531d-baaf-653bcdd893c7.spold;market for sewage sludge, 70% water, WWT-SLF, waste paperboard;CH;sewage sludge, 70% water, WWT-SLF, waste paperboard
0e507f07-3b07-54df-9084-8824fa9be598_0d92ed61-850c-424f-82f8-2f99f8fac07e.spold;planning, cogen unit mini CHP plant;CH;planning, cogen unit mini CHP plant
adcbadb3-ea26-5ef3-90b9-de8085ada3e2_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of blast furnace gas, in power plant;CA-NS;heat, district or industrial, other than natural gas
3bbba392-bd54-53bc-8201-03cda887564f_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from RU;BY;electricity, high voltage
c6bb3a7a-1939-5551-97c3-fd768d8b903a_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation, residual mix, from high to medium voltage;LT;electricity, medium voltage
8724dc2f-925c-5def-8fbe-7c2d247bc1ba_dfbdd39b-2541-4069-9b87-ab61ef6fbc0c.spold;market for sheet rolling, copper;GLO;sheet rolling, copper
81830b08-e964-53a7-96c4-0ddeb770fc0d_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, run-of-river;CN-SC;electricity, high voltage
bba2c3b9-19d3-5530-847a-6a0cddc7e551_78acb00f-79bf-486e-98bd-8d68ac7e51a2.spold;molybdenum production;RoW;indium rich leaching residues, from zinc production
ec477346-1cc7-5ae6-a4fc-23643d2cb29c_0451c9ba-5f09-4e23-a8b4-3d7ee441a6fc.spold;treatment of blast furnace sludge, residual material landfill;CH;blast furnace sludge
46d51f87-407b-5bb0-a626-d78f49f4a448_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity, from municipal waste incineration to generic market for electricity, medium voltage;PT;electricity, medium voltage
f7c8bc9a-81b4-50b9-b9a1-c59711e35c5d_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;HR;electricity, high voltage
81c2da4f-0158-557f-8352-b9ae2c7041f9_7c3dbbb9-cc2d-43e8-acf9-abfa115d2ae5.spold;treatment of sulfidic tailings, from copper mine operation, tailings impoundment;AU;sulfidic tailings, from copper mine operation
9e8ccf05-80a0-5018-b1d8-3c183cb5609e_cd27db73-0bae-4afa-a11a-e62153d7594b.spold;expanded perlite production;CH;expanded perlite
556eeb46-0453-527d-aa3e-74f8b043f957_e1126956-dc57-4837-849f-57fb25c8effa.spold;market for praseodymium oxide;GLO;praseodymium oxide
de58b307-8a0b-5e2e-8561-014c0a313d50_6dc5955e-e2a6-4fd5-845d-63df2e29ecaa.spold;phosphate rock beneficiation;RER;phosphate rock, beneficiated
4e20438e-3e6e-525c-932e-8b622ac12c97_3d793ffb-b1ef-42e3-a3ac-6894faf26264.spold;market for transport, freight, lorry with reefer, cooling;GLO;transport, freight, lorry with reefer, cooling
a21f7b99-0ad0-5265-95c0-7a49f6976685_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;treatment of waste mineral oil, hazardous waste incineration, with energy recovery;RoW;heat, district or industrial, other than natural gas
4299a1a3-0ef8-52e1-83a1-eaf84366e376_4e252b55-fb08-4447-8391-d09e8bbb0238.spold;electronic component production, passive, unspecified;GLO;electronic component, passive, unspecified
7ea86eb5-5a19-5e2c-9a94-78b51993892a_777bc26c-02e7-441e-a487-e4d4a87dae49.spold;treatment of waste emulsion paint, inert material landfill;CH;waste emulsion paint
96fbb5d5-6e2d-5875-9931-cd9e09f751c6_b0176c67-5bc0-462a-8466-4f372f446f7c.spold;market for waste polystyrene;IE;waste polystyrene
882b5051-5333-5f87-bc2b-6ba7e3351ac2_9a121150-8fa3-4f58-b621-41e64424a5dc.spold;burnt shale production;DE;burnt shale
b366341b-3461-5ab1-b120-0ae1b26c7da6_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity production, photovoltaic, 3kWp slanted-roof installation, multi-Si, panel, mounted;IE;electricity, low voltage
47b5b696-ad04-5685-aa30-6fabdda05f61_5321a299-0c03-4bfc-9dda-d020456f6b2e.spold;market for inorganic phosphorus fertiliser, as P2O5;NL;inorganic phosphorus fertiliser, as P2O5
d710a931-c99d-567a-ba96-9b50498487b4_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, non-alpine region;SK;electricity, high voltage
4ab3d14c-6aad-55cc-a881-a52999042216_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, 1-3MW turbine, onshore;AT;electricity, high voltage
2a543f6e-e672-5b76-83a5-01d53594d409_47db64ec-c8e9-4979-b22e-9f0c380966f5.spold;market for maintenance, motor scooter;GLO;maintenance, motor scooter
89da8204-8d62-5396-9fd7-5c3ba80204ed_1bd547be-e9b8-43e4-8f46-e566f0cc1281.spold;market for glass cullet, lead containing, from used cathode ray tube;GLO;glass cullet, lead containing, from used cathode ray tube
4c8c940e-6d7e-5301-a03d-780b0b6632a4_00478901-732f-4bf4-81cc-2255f9874512.spold;market for waste polypropylene;LU;waste polypropylene
5ea555bc-7bea-58db-9d77-8cfed97b3fc3_e69cca3a-6e2a-4638-b9e7-09927dcf1c95.spold;market for polyvinylchloride, suspension polymerised;GLO;polyvinylchloride, suspension polymerised
77756563-f779-5331-817b-90606aba4b6a_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;GI;electricity, medium voltage
c35af2c5-4692-51f4-b4fe-54206c805131_3d3268fa-3c9e-43e0-be88-3dfd53718719.spold;esterification of rape oil;RoW;glycerine
fcea639a-57c5-56ee-b1f1-80121983eeb2_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;nutrient supply from urea;RNA;inorganic nitrogen fertiliser, as N
73f935aa-ec56-5335-8fb3-125601fd419d_89e97ec2-ee6d-4d5e-9dec-254f3aa01848.spold;operation, computer, desktop, with liquid crystal display, active mode;Europe without Switzerland;operation, computer, desktop, with liquid crystal display, active mode
7df353d2-cbef-5553-bb7a-f1866fac02c5_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;treatment of waste paperboard, sanitary landfill;CH;electricity, medium voltage
a3ea7144-1548-5939-8f6f-806b79d24eb1_8931016e-3e07-5c9a-91a6-cd85b90a2aaa.spold;land already in use, perennial cropland to pasture, man made;BR-ES;land tenure, arable land, measured as carbon net primary productivity, pasture, man made
9ff21162-bdea-5f95-8518-4b358f6e1c0f_db2922b0-f8fe-4bf9-ba8b-b7d7018e10fb.spold;chloroacetyl chloride production;RER;chloroacetyl chloride
a064bcc2-5efa-5f2a-b392-30e5273cbba1_66c93e71-f32b-4591-901c-55395db5c132.spold;market for electricity, high voltage;DE;electricity, high voltage
e6c567ff-463a-5227-9336-80e0625c3928_2540e7b1-583b-49c3-a53f-db748f92f730.spold;market for sulfate pulp, bleached;RER;sulfate pulp, bleached
79c99747-9592-54f2-8d4d-e145e8e3e699_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hydro, reservoir, alpine region;NO;electricity, high voltage
6937e00c-86b7-56dc-93f5-9966568fd167_51ee8234-6dea-42cb-b520-2d879bf53f3d.spold;fleece production, polyethylene;RER;fleece, polyethylene
7ca7b68c-c62f-5d5a-a4a7-e5609990f847_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from RLA;CR;electricity, high voltage
a6fcc720-d9e8-5df3-af29-46f7227d0550_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;market for natural gas, high pressure;RoE;natural gas, high pressure
a56e6d73-6b93-5f14-987e-5faa410899be_b9516ad1-d0ab-5e5d-9be4-2efe48bb8444.spold;market for stearic acid;GLO;stearic acid
1e760884-6dcd-5a51-8967-f71b171c7b0a_db66eb0b-7b48-4300-8134-2c851292cc14.spold;anode production, prebake, for aluminium electrolysis;IAI Area, EU27 & EFTA;anode, prebake, for aluminium electrolysis
5457d825-a74b-5041-a55c-089f859a5fa3_f831dbaf-bcb9-5a4e-89a8-607f39516f51.spold;market for dimethylaminopropylamine;GLO;dimethylaminopropylamine
c9e17720-70ae-5591-bea6-f1712458deb6_579049d0-3db8-4496-a234-2f61ed28a72b.spold;extrusion, plastic film;RER;extrusion, plastic film
aae9143c-072d-547b-a5c4-63703ccb3fac_c280bb96-1657-4aa3-a2bb-071d83c81759.spold;treatment of sewage sludge, 97% water, WWT-SLF, waste polyurethane, landfarming;RoW;sewage sludge, 97% water, WWT-SLF, waste polyurethane
f8134bca-b756-5907-a09c-ce027bdebbbb_749ae6bc-cd22-4620-804f-148b96989e36.spold;market for sewage sludge, 97% water, WWT, WW from hard fibreboard production;RER;sewage sludge, 97% water, WWT, WW from hard fibreboard production
9f316332-3e8c-5094-b6ae-07b3faede52a_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;BR-Southern grid;electricity, low voltage
23bc6628-43ac-54b4-8394-c91210ef3274_3f14ad74-3caf-4ddc-9155-c78e40f80a14.spold;biogas purification to biomethane by amino washing;CH;biomethane, high pressure
13330bba-d7de-528e-bd77-fddf49be95e7_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;SG;electricity, low voltage
2d771edd-8fe2-543c-a7af-ffe5dacbf397_5060225e-6ea5-4842-90d0-a1971c92dfc5.spold;mango seedling production, for planting;RoW;mango seedling, for planting
72239d6d-349c-5cf6-90d8-34dcef54223b_031dd5ec-b11e-4092-9f92-5329f1cc580f.spold;fluorescent whitening agent production, distyrylbiphenyl type;RER;fluorescent whitening agent, distyrylbiphenyl type
5bfeac4c-b013-5491-9bda-5de16b762d65_9eaf7702-839a-4a6a-a5c6-9a6f6b6d6651.spold;heat and power co-generation unit construction, 6400kW thermal, building;CH;heat and power co-generation unit, 6400kW thermal, building
d0525bec-77ce-552d-ba96-27fd2047ca36_5b808359-1aed-4a46-aba5-993226763791.spold;market for dimethyl sulfate;RoW;dimethyl sulfate
ff51a475-ec21-5a3c-a5c2-e2cd14da1bf9_b7b72951-a57c-4364-9b49-ea3c7cb03d00.spold;synthetic fuel production, from coal, high temperature Fisher-Tropsch operations;ZA;1-propanol
060a4c01-8945-5e37-87bd-a20a1f1517f5_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, deep geothermal;CL;electricity, high voltage
a8c1a443-5fb2-5dfd-a4e7-1de0a6d1981b_370f3b6f-cd34-496d-a249-3045fdb389a1.spold;market for soil, contaminated;GLO;soil, contaminated
15d229be-a538-53f4-969f-6f538c113c77_00478901-732f-4bf4-81cc-2255f9874512.spold;treatment of waste polypropylene, open dump, moist infiltration class (300mm);GLO;waste polypropylene
0f37c618-cfb2-5e21-a78e-362807fef995_6534b875-82f0-4714-b31e-58214929b0a9.spold;market for polyvinylfluoride, film;GLO;polyvinylfluoride, film
dc45b7b1-0752-5175-ba16-beea63f93726_d69294d7-8d64-4915-a896-9996a014c410.spold;market for electricity, low voltage;MK;electricity, low voltage
15ad91e1-8e21-59f7-98f7-c0d06212e5c8_82fc8ffd-e1f4-4a11-ac26-6734d9b2fe89.spold;market for filter dust from Al electrolysis;RoW;filter dust from Al electrolysis
d50edbc7-94a6-529f-a586-f9652eb4ea91_d51e5a32-c20a-4da6-8d58-31f344b50c00.spold;market for waste graphical paper;ME;waste graphical paper
45a74480-7009-53fe-8f5c-1f7cc6ddc3bb_eae90647-a55e-4512-9922-e4170fb36a46.spold;alkylbenzene production, linear;RER;alkylbenzene, linear
6edbd042-8d06-5693-949a-99d76f4a66a7_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation, residual mix, from medium to low voltage;RS;electricity, low voltage
16242e7f-72c1-51e9-bf0a-67f9239154de_ab2d6d49-c4a9-48b1-bddc-0ccb6b84e022.spold;dimethyl carbonate production;RoW;formaldehyde
b4faaa67-87d5-5aec-88bd-37761b7c352d_65b4ca5d-b35a-4cc1-8645-1064505e5303.spold;market for operation, computer, laptop, 68% active work, electricity from renewable energy products;GLO;operation, computer, laptop, 68% active work, electricity from renewable energy products
89bb0d3b-62d2-55e9-a2b6-a1a7d63c60ec_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of sewage sludge, 70% water, WWT-SLF, municipal solid waste, municipal incineration;GLO;electricity, for reuse in municipal waste incineration only
90870900-1e27-598d-95ab-2d16313ee329_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, oil;LV;heat, district or industrial, other than natural gas
007532f6-5dfa-5280-91de-7524ed65bb81_b4fe7649-79c8-48a4-a3aa-e14023ff35a7.spold;treatment of used capacitor, to hazardous waste incineration, with energy recovery;CH;used capacitor
006e3821-1b98-5e1d-8c80-ed39547bdb05_ec23da1b-e5fa-4f01-bd2c-3233fece2175.spold;market for cement, unspecified;CH;cement, unspecified
a97365ba-56f3-5979-9cd1-d649d02273da_b658a402-79b9-4a02-a818-f6090adb13f1.spold;propylene production, from propane dehydrogenation;US;propylene
6aecd425-5325-5a0c-8170-35a0f986ab8b_5a572f8b-0bbd-4946-81b3-1c483252627e.spold;market for ferroniobium, 66% Nb;GLO;ferroniobium, 66% Nb
f86299cb-e149-50ae-8caa-0144429701fb_3fdbecc2-bb86-4c4b-8f5c-7b80e5e365c8.spold;concrete production, 25MPa, for building construction, for interior use, with cement ZN/D;CH;concrete, 25MPa
7bec1f66-d64f-5dac-8ff2-e957c071f50f_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold;operation, solar collector system, Cu flat plate collector, one-family house, for combined system;CH;heat, central or small-scale, other than natural gas
4ba838a7-a096-51e3-8cc6-fd064193f060_b0176c67-5bc0-462a-8466-4f372f446f7c.spold;treatment of waste polystyrene, sanitary landfill;RoW;waste polystyrene
78875b4e-53ec-5a7f-bb76-c38f7ff5cd2b_2ca7a4e8-2399-4955-96e3-e56f2c6a17ab.spold;treatment of residues, MSWI-WWT, WW from soft fibreboard production, residual material landfill;GLO;residues, MSWI-WWT, WW from soft fibreboard production
bf6c0573-db5b-52a3-9d6b-9bbbd853517e_f4439eab-25f5-4cc0-b566-957bfe0e2d82.spold;market for bitumen seal;GLO;bitumen seal
a3aa594e-ebd2-55e9-9cee-df1ca66d8a40_120d4874-c322-4173-988f-49841427a5c0.spold;market for calcined clay;RoW;calcined clay
460bc8fb-d79b-58bc-b04e-0d7f7425d89e_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity, medium voltage, residual mix;PT;electricity, medium voltage
adb210f2-84e1-5653-85b9-75cc0194e83b_3fbcb3ea-30d6-5459-8ac1-955fb642e67f.spold;market for single superphosphate;RoW;single superphosphate
baf58930-6e18-585a-b42b-539c6557f070_50674001-117e-4885-a8cd-53e485eaca3f.spold;market for used railway track;RoW;used railway track
ae90b8c2-4044-5ed9-99c7-03a5fe9ec3ec_408e23d8-25c2-4cf6-8a1b-233be6efef1d.spold;market for sewage sludge, 70% water, WWT, WW from ceramic production;CH;sewage sludge, 70% water, WWT, WW from ceramic production
3480d605-8a88-559b-ad23-d224ef1f5114_759b89bd-3aa6-42ad-b767-5bb9ef5d331d.spold;electricity voltage transformation from high to medium voltage;EG;electricity, medium voltage
32aa5264-3435-53ca-9d2e-f7f9f3e6e145_c5d2f044-1ca4-4876-b0d9-7baac36ab6eb.spold;market for frozen fish sticks, hake;GLO;frozen fish sticks, hake
238d49b0-4c1b-53c4-9d09-e0533d8cd5d5_7370867d-683c-4006-a16e-5fab6c633a89.spold;heat and power co-generation, natural gas, 160kW electrical, Jakobsberg;CH;heat, central or small-scale, natural gas, Jakobsberg
95134960-1f22-5b8b-b950-9b913f33c3ba_aefadd6b-01e9-48ff-b4a1-2c3c8e0d79ca.spold;market for maize grain, feed;ZA;maize grain, feed
92020d15-4e32-5b71-8232-a85d2315ef8f_5321a299-0c03-4bfc-9dda-d020456f6b2e.spold;market for inorganic phosphorus fertiliser, as P2O5;RU;inorganic phosphorus fertiliser, as P2O5
c752a378-8705-589d-89c7-34c13f817e98_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW;RU;heat, district or industrial, other than natural gas
aaba8e5d-99e1-51e6-b968-4c49e55047d3_f4ece674-b746-4776-8887-d1439a992156.spold;mini CHP plant production, components for electricity only;RoW;mini CHP plant, components for electricity only
44e508da-a813-5350-ad30-7c5bc5c6a67c_96501bb6-a68f-41f5-a067-92137e816e05.spold;chlor-alkali electrolysis, average production;RER;sodium hypochlorite, without water, in 15% solution state
2f638975-ecb2-539f-94e7-8f8c527f7478_b909dee2-76bd-4eae-87d5-fc831390f99b.spold;market for transport, freight, lorry >32 metric ton, EURO3;BR;transport, freight, lorry >32 metric ton, EURO3
1fe3483f-586f-50ec-90fc-6a4abf57adc9_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;market for land use change, annual crop;UA;land use change, annual crop
95c47c34-68ce-58ee-99ed-8f9289db740d_1d32b849-121f-4d23-853c-fa2bf55c42e9.spold;market for land use change, annual crop;NL;land use change, annual crop
267f9292-f4ed-59a8-8334-57e4f67e1c88_8d7c013a-5aca-44d7-8fc4-193844d2953a.spold;market for waste packaging paper;FR;waste packaging paper
ee32ddbe-6082-5148-8f57-4f4f5dd71dae_98556c18-39ab-4d83-b9b9-cf9ae41566a9.spold;photovoltaic panel production, single-Si wafer;RoW;photovoltaic panel, single-Si wafer
4cc14152-966b-516d-8249-02a7dc0c7078_9d63da75-8289-4b96-a900-67ec3bd40a16.spold;smelting of copper concentrate, sulfide ore;CN;sulfuric acid
df094d79-d1aa-5500-966c-def1731103a0_85086b85-ef0a-55c6-be1f-66e45e7aeaaa.spold;market for land use change, pasture, man made;BR-RR;land use change, pasture, man made
dcb08fa5-2dfc-5fb4-8b7c-98d73cf7b2b6_842e3faf-8de9-47a3-bfac-606edc0adbd3.spold;furnace production, wood chips, average storage area, 1000kW;RoW;furnace, wood chips, average storage area, 1000kW
8636eb4e-2443-5ea0-9953-bc9f232b524e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, wind, <1MW turbine, onshore;CN-AH;electricity, high voltage
b3d84d4a-9e24-517a-af90-e6bed6da9cc3_d51e5a32-c20a-4da6-8d58-31f344b50c00.spold;treatment of waste graphical paper, unsanitary landfill, hyperarid infiltration class (-250mm);GLO;waste graphical paper
b3a81208-4113-551e-a976-90b3e0f3b4aa_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;EE;electricity, low voltage
ba21e4b2-d4b5-5110-8dee-94977097c3f2_d262464c-5e85-433e-877d-c7e787ace057.spold;market for photovoltaic slanted-roof installation, 3kWp, ribbon-Si, laminated, integrated, on roof;GLO;photovoltaic slanted-roof installation, 3kWp, ribbon-Si, laminated, integrated, on roof
a7631394-71a4-5138-b2d8-554adcca6a17_b15da1e4-2d96-4388-bcdd-b02b17cf0ea4.spold;plug production, inlet and outlet, for computer cable;GLO;plug, inlet and outlet, for computer cable
52997c43-2131-5597-837a-0f51dde3a826_2f7ff1bc-5e10-4276-b365-af34a3654eb8.spold;water production, ultrapure;CA-QC;water, ultrapure
75304eb3-898d-586e-b656-ef6c7e5d7680_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;nutrient supply from diammonium phosphate;RNA;inorganic nitrogen fertiliser, as N
755f6333-274e-54f9-a64c-e69bdd0d8660_aed42e37-62bc-4f3f-a527-b92f5187c0e8.spold;hardwood forestry, beech, sustainable forest management;RoW;pulpwood, hardwood, measured as solid wood under bark
1ffffa4f-02f0-5370-83a3-5b7c8a656a62_94d77edb-b115-4541-b383-62d731784287.spold;cement production, CEM II/B;CH;waste mixed aggregates, from demolition
df313e2e-5029-516c-9373-8e4d69aeff0b_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;natural gas, high pressure, import from OM;CN;natural gas, high pressure
22586197-14b9-5d50-b1fd-f7f15cfab86d_a9007f10-7e39-4d50-8f4a-d6d03ce3d673.spold;market for natural gas, high pressure;JP;natural gas, high pressure
2cbc2a78-4809-50dd-b8d1-f31e9c0d8558_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, natural gas, conventional power plant;US-RFC;electricity, high voltage
38331471-c4e3-5002-88c9-4cb7faa97f97_e2602b72-0880-5711-85d4-0a7a307b51ac.spold;market for residues, MSWI[F], waste newspaper;CH;residues, MSWI[F], waste newspaper
04189d0e-fcc6-5a7c-9f48-32a8cffcb193_8d950031-fee3-4f3c-9bc1-889f6be31ea9.spold;transport, passenger car, large size, diesel, EURO 5;RER;transport, passenger car, large size, diesel, EURO 5
b714f170-45d9-513c-91d7-db89ada8cd13_f5707bdf-f7e2-479b-b3ea-99c04de8a927.spold;market for inorganic nitrogen fertiliser, as N;US;inorganic nitrogen fertiliser, as N
af91fef6-92b6-5414-b634-40c64347f05e_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold;heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014, renewable energy products;CH;heat, district or industrial, other than natural gas
e288650e-d186-5654-8a3f-2a1b954e4033_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration FAE;CH;electricity, for reuse in municipal waste incineration only
746a7a01-7296-5bb9-be0a-0c46f7a227f9_f51a90ff-5201-4746-8fd6-ddb8efa7b26b.spold;treatment of waste plastic plaster, sanitary landfill;RoW;waste plastic plaster, for final disposal
