Filename;ActivityName;Location;ReferenceProduct
b6c7c486-83ea-50c3-a072-7b9adf6de72b_28c2473e-1e11-4078-9a76-de9550553adc.spold;market for oxygen, liquid;RoW;oxygen, liquid
1cbd2b1a-c024-50a2-994e-96b608fdeeda_6aefd086-1942-403e-8fdf-576f32c7cd87.spold;treatment of waste electric wiring, collection for final disposal;CH;waste electric wiring
6e9a1eac-848e-5efc-a3bb-ea545a4cb76e_85086b85-ef0a-55c6-be1f-66e45e7aeaaa.spold;land use change, pasture, man made;BR-TO;land use change, pasture, man made
6bd05ce3-cb53-5442-a42f-ee1237ba81b6_dae141a8-7daa-4f03-a649-b85b718ac65b.spold;market for waste glass;ME;waste glass
95063b29-982c-5872-a829-e2db59ea45f2_637ee275-a239-4dcb-b084-abfa110dd65b.spold;treatment of municipal solid waste, municipal incineration;DK;electricity, for reuse in municipal waste incineration only
8b3a359f-20e9-50a0-9c8e-7075c3ef8cde_d69294d7-8d64-4915-a896-9996a014c410.spold;electricity voltage transformation from medium to low voltage;SS;electricity, low voltage
88f51937-0caf-5f5f-997b-8578d57f202e_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, import from HU;RO;electricity, high voltage
23d931d6-5a81-58ed-82e9-c03aeba69fd3_309473ca-5ff1-447a-8739-9ab58de415d6.spold;market for heat and power co-generation unit, organic Rankine cycle, 1000kW electrical;GLO;heat and power co-generation unit, organic Rankine cycle, 1000kW electrical
194caab5-2189-5f8d-b602-8cf1d07c4e90_2581d7f7-59e3-411d-b12e-3cb653bf4e9f.spold;market for tower silo, plastic;GLO;tower silo, plastic
28531036-6aba-50f6-a19e-3fb7286b2c5c_93afc03f-5832-4ec0-8d76-cf6e62efff26.spold;market for transport, freight, lorry >32 metric ton, EURO5;BR;transport, freight, lorry >32 metric ton, EURO5
2eb024c7-2bdb-5cd3-8a33-a2b71f50f697_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity, high voltage, production mix;PH;electricity, high voltage
ae9cc470-0804-5881-851e-78b462728d8f_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, nuclear, boiling water reactor;US-RFC;electricity, high voltage
367612db-e0d2-515e-803d-b30f9c8fef9e_7349f706-8f4e-4061-9e68-a66c269b4030.spold;treatment of limestone residue, inert material landfill;RoW;limestone residue
900c7cc4-948e-5693-9531-489be3e5f4fd_7a660d2e-6d57-4d2f-9332-30ea826cd679.spold;market for butyrolactone;RER;butyrolactone
68f418ee-8011-5e9f-9708-736d5ef320cf_090f56b8-6a83-48c1-ae26-234d04771e53.spold;transport, freight, light commercial vehicle, all, to generic market for transport, freight, light commercial vehicle;ZA;transport, freight, light commercial vehicle
1f1c5e6a-ab32-5d43-a233-7822893063c5_66c93e71-f32b-4591-901c-55395db5c132.spold;electricity production, hard coal;CN-AH;electricity, high voltage
e62f346f-4a7f-521a-bfa1-6b5650b6f5ef_44e8a892-3178-4352-a898-722e68990fe9.spold;unsaturated hydrocarbons production, steam cracking operation, average;RoW;ethylene
6275dfca-6d62-5d11-aff1-98b475a0d91c_588a2007-5fa7-45eb-9572-8addeb984539.spold;market for decommissioned pipeline, natural gas;CH;decommissioned pipeline, natural gas
b6bea625-d0be-51eb-a284-dfa98e327965_9b9edcf3-0539-4642-9516-0df642a5c41a.spold;land already in use, annual cropland to perennial crop;MG;land tenure, arable land, measured as carbon net primary productivity, perennial crop
